snake capacity 252
snakePush, newsize = 6, newhead = 5, newtail = 0
snakePop,  newsize = 5, newhead = 5, newtail = 1
snakePush, newsize = 6, newhead = 6, newtail = 1
snakePop,  newsize = 5, newhead = 6, newtail = 2
snakePush, newsize = 6, newhead = 7, newtail = 2
snakePop,  newsize = 5, newhead = 7, newtail = 3
snakePush, newsize = 6, newhead = 8, newtail = 3
snakePop,  newsize = 5, newhead = 8, newtail = 4
snakePush, newsize = 6, newhead = 9, newtail = 4
snakePop,  newsize = 5, newhead = 9, newtail = 5
snakePush, newsize = 6, newhead = 10, newtail = 5
snakePop,  newsize = 5, newhead = 10, newtail = 6
snakePush, newsize = 6, newhead = 11, newtail = 6
snakePop,  newsize = 5, newhead = 11, newtail = 7
snakePush, newsize = 6, newhead = 12, newtail = 7
snakePop,  newsize = 5, newhead = 12, newtail = 8
snakePush, newsize = 6, newhead = 13, newtail = 8
snakePop,  newsize = 5, newhead = 13, newtail = 9
snakePush, newsize = 6, newhead = 14, newtail = 9
snakePop,  newsize = 5, newhead = 14, newtail = 10
snakePush, newsize = 6, newhead = 15, newtail = 10
snakePop,  newsize = 5, newhead = 15, newtail = 11
snakePush, newsize = 6, newhead = 16, newtail = 11
snakePop,  newsize = 5, newhead = 16, newtail = 12
snakePush, newsize = 6, newhead = 17, newtail = 12
snakePop,  newsize = 5, newhead = 17, newtail = 13
snakePush, newsize = 6, newhead = 18, newtail = 13
snakePop,  newsize = 5, newhead = 18, newtail = 14
snakePush, newsize = 6, newhead = 19, newtail = 14
snakePop,  newsize = 5, newhead = 19, newtail = 15
snakePush, newsize = 6, newhead = 20, newtail = 15
snakePop,  newsize = 5, newhead = 20, newtail = 16
snakePush, newsize = 6, newhead = 21, newtail = 16
snakePop,  newsize = 5, newhead = 21, newtail = 17
pickup,    newsize = 6, newhead = 21, newtail = 16
snakePush, newsize = 7, newhead = 22, newtail = 16
snakePop,  newsize = 6, newhead = 22, newtail = 17
snakePush, newsize = 7, newhead = 23, newtail = 17
snakePop,  newsize = 6, newhead = 23, newtail = 18
snakePush, newsize = 7, newhead = 24, newtail = 18
snakePop,  newsize = 6, newhead = 24, newtail = 19
snakePush, newsize = 7, newhead = 25, newtail = 19
snakePop,  newsize = 6, newhead = 25, newtail = 20
snakePush, newsize = 7, newhead = 26, newtail = 20
snakePop,  newsize = 6, newhead = 26, newtail = 21
snakePush, newsize = 7, newhead = 27, newtail = 21
snakePop,  newsize = 6, newhead = 27, newtail = 22
snakePush, newsize = 7, newhead = 28, newtail = 22
snakePop,  newsize = 6, newhead = 28, newtail = 23
snakePush, newsize = 7, newhead = 29, newtail = 23
snakePop,  newsize = 6, newhead = 29, newtail = 24
snakePush, newsize = 7, newhead = 30, newtail = 24
snakePop,  newsize = 6, newhead = 30, newtail = 25
snakePush, newsize = 7, newhead = 31, newtail = 25
snakePop,  newsize = 6, newhead = 31, newtail = 26
snakePush, newsize = 7, newhead = 32, newtail = 26
snakePop,  newsize = 6, newhead = 32, newtail = 27
snakePush, newsize = 7, newhead = 33, newtail = 27
snakePop,  newsize = 6, newhead = 33, newtail = 28
snakePush, newsize = 7, newhead = 34, newtail = 28
snakePop,  newsize = 6, newhead = 34, newtail = 29
snakePush, newsize = 7, newhead = 35, newtail = 29
snakePop,  newsize = 6, newhead = 35, newtail = 30
snakePush, newsize = 7, newhead = 36, newtail = 30
snakePop,  newsize = 6, newhead = 36, newtail = 31
snakePush, newsize = 7, newhead = 37, newtail = 31
snakePop,  newsize = 6, newhead = 37, newtail = 32
snakePush, newsize = 7, newhead = 38, newtail = 32
snakePop,  newsize = 6, newhead = 38, newtail = 33
pickup,    newsize = 7, newhead = 38, newtail = 32
snakePush, newsize = 8, newhead = 39, newtail = 32
snakePop,  newsize = 7, newhead = 39, newtail = 33
snakePush, newsize = 8, newhead = 40, newtail = 33
snakePop,  newsize = 7, newhead = 40, newtail = 34
snakePush, newsize = 8, newhead = 41, newtail = 34
snakePop,  newsize = 7, newhead = 41, newtail = 35
snakePush, newsize = 8, newhead = 42, newtail = 35
snakePop,  newsize = 7, newhead = 42, newtail = 36
snakePush, newsize = 8, newhead = 43, newtail = 36
snakePop,  newsize = 7, newhead = 43, newtail = 37
snakePush, newsize = 8, newhead = 44, newtail = 37
snakePop,  newsize = 7, newhead = 44, newtail = 38
snakePush, newsize = 8, newhead = 45, newtail = 38
snakePop,  newsize = 7, newhead = 45, newtail = 39
snakePush, newsize = 8, newhead = 46, newtail = 39
snakePop,  newsize = 7, newhead = 46, newtail = 40
snakePush, newsize = 8, newhead = 47, newtail = 40
snakePop,  newsize = 7, newhead = 47, newtail = 41
snakePush, newsize = 8, newhead = 48, newtail = 41
snakePop,  newsize = 7, newhead = 48, newtail = 42
snakePush, newsize = 8, newhead = 49, newtail = 42
snakePop,  newsize = 7, newhead = 49, newtail = 43
snakePush, newsize = 8, newhead = 50, newtail = 43
snakePop,  newsize = 7, newhead = 50, newtail = 44
snakePush, newsize = 8, newhead = 51, newtail = 44
snakePop,  newsize = 7, newhead = 51, newtail = 45
snakePush, newsize = 8, newhead = 52, newtail = 45
snakePop,  newsize = 7, newhead = 52, newtail = 46
snakePush, newsize = 8, newhead = 53, newtail = 46
snakePop,  newsize = 7, newhead = 53, newtail = 47
snakePush, newsize = 8, newhead = 54, newtail = 47
snakePop,  newsize = 7, newhead = 54, newtail = 48
snakePush, newsize = 8, newhead = 55, newtail = 48
snakePop,  newsize = 7, newhead = 55, newtail = 49
snakePush, newsize = 8, newhead = 56, newtail = 49
snakePop,  newsize = 7, newhead = 56, newtail = 50
snakePush, newsize = 8, newhead = 57, newtail = 50
snakePop,  newsize = 7, newhead = 57, newtail = 51
snakePush, newsize = 8, newhead = 58, newtail = 51
snakePop,  newsize = 7, newhead = 58, newtail = 52
snakePush, newsize = 8, newhead = 59, newtail = 52
snakePop,  newsize = 7, newhead = 59, newtail = 53
snakePush, newsize = 8, newhead = 60, newtail = 53
snakePop,  newsize = 7, newhead = 60, newtail = 54
snakePush, newsize = 8, newhead = 61, newtail = 54
snakePop,  newsize = 7, newhead = 61, newtail = 55
snakePush, newsize = 8, newhead = 62, newtail = 55
snakePop,  newsize = 7, newhead = 62, newtail = 56
snakePush, newsize = 8, newhead = 63, newtail = 56
snakePop,  newsize = 7, newhead = 63, newtail = 57
snakePush, newsize = 8, newhead = 64, newtail = 57
snakePop,  newsize = 7, newhead = 64, newtail = 58
pickup,    newsize = 8, newhead = 64, newtail = 57
snakePush, newsize = 9, newhead = 65, newtail = 57
snakePop,  newsize = 8, newhead = 65, newtail = 58
snakePush, newsize = 9, newhead = 66, newtail = 58
snakePop,  newsize = 8, newhead = 66, newtail = 59
snakePush, newsize = 9, newhead = 67, newtail = 59
snakePop,  newsize = 8, newhead = 67, newtail = 60
snakePush, newsize = 9, newhead = 68, newtail = 60
snakePop,  newsize = 8, newhead = 68, newtail = 61
pickup,    newsize = 9, newhead = 68, newtail = 60
snakePush, newsize = 10, newhead = 69, newtail = 60
snakePop,  newsize = 9, newhead = 69, newtail = 61
snakePush, newsize = 10, newhead = 70, newtail = 61
snakePop,  newsize = 9, newhead = 70, newtail = 62
snakePush, newsize = 10, newhead = 71, newtail = 62
snakePop,  newsize = 9, newhead = 71, newtail = 63
snakePush, newsize = 10, newhead = 72, newtail = 63
snakePop,  newsize = 9, newhead = 72, newtail = 64
snakePush, newsize = 10, newhead = 73, newtail = 64
snakePop,  newsize = 9, newhead = 73, newtail = 65
snakePush, newsize = 10, newhead = 74, newtail = 65
snakePop,  newsize = 9, newhead = 74, newtail = 66
snakePush, newsize = 10, newhead = 75, newtail = 66
snakePop,  newsize = 9, newhead = 75, newtail = 67
snakePush, newsize = 10, newhead = 76, newtail = 67
snakePop,  newsize = 9, newhead = 76, newtail = 68
snakePush, newsize = 10, newhead = 77, newtail = 68
snakePop,  newsize = 9, newhead = 77, newtail = 69
snakePush, newsize = 10, newhead = 78, newtail = 69
snakePop,  newsize = 9, newhead = 78, newtail = 70
snakePush, newsize = 10, newhead = 79, newtail = 70
snakePop,  newsize = 9, newhead = 79, newtail = 71
snakePush, newsize = 10, newhead = 80, newtail = 71
snakePop,  newsize = 9, newhead = 80, newtail = 72
snakePush, newsize = 10, newhead = 81, newtail = 72
snakePop,  newsize = 9, newhead = 81, newtail = 73
snakePush, newsize = 10, newhead = 82, newtail = 73
snakePop,  newsize = 9, newhead = 82, newtail = 74
snakePush, newsize = 10, newhead = 83, newtail = 74
snakePop,  newsize = 9, newhead = 83, newtail = 75
snakePush, newsize = 10, newhead = 84, newtail = 75
snakePop,  newsize = 9, newhead = 84, newtail = 76
snakePush, newsize = 10, newhead = 85, newtail = 76
